iter	Passed	Remaining
857	10787	1785
858	10802	1773
859	10816	1760
860	10829	1748
861	10841	1735
862	10855	1723
863	10870	1711
864	10884	1698
865	10897	1686
866	10911	1673
867	10923	1661
868	10938	1648
869	10951	1636
870	10965	1624
871	10970	1610
872	10984	1597
873	10998	1585
874	11011	1573
875	11024	1560
876	11038	1548
877	11053	1535
878	11067	1523
879	11081	1511
880	11088	1497
881	11103	1485
882	11117	1473
883	11132	1460
884	11139	1447
885	11154	1435
886	11168	1422
887	11183	1410
888	11197	1398
889	11211	1385
890	11223	1373
891	11237	1360
892	11251	1348
893	11266	1335
894	11279	1323
895	11293	1310
896	11305	1298
897	11319	1285
898	11333	1273
899	11346	1260
900	11359	1248
901	11371	1235
902	11377	1222
903	11389	1209
904	11402	1196
905	11415	1184
906	11429	1171
907	11442	1159
908	11456	1146
909	11469	1134
910	11482	1121
911	11496	1109
912	11508	1096
913	11520	1084
914	11534	1071
915	11546	1058
916	11559	1046
917	11571	1033
918	11584	1021
919	11599	1008
920	11611	996
921	11624	983
922	11636	970
923	11648	958
924	11661	945
925	11673	932
926	11685	920
927	11697	907
928	11709	894
929	11721	882
930	11733	869
931	11741	856
932	11754	844
933	11766	831
934	11817	821
935	11842	809
936	11864	797
937	11879	785
938	11893	772
939	11907	760
940	11921	747
941	11934	734
942	11949	722
943	11965	709
944	11982	697
945	11997	684
946	12011	672
947	12025	659
948	12039	646
949	12052	634
950	12066	621
951	12079	609
952	12092	596
953	12105	583
954	12118	571
955	12131	558
956	12144	545
957	12158	533
958	12172	520
959	12185	507
960	12197	495
961	12210	482
962	12223	469
963	12236	456
964	12249	444
965	12262	431
966	12276	418
967	12289	406
968	12301	393
969	12313	380
970	12326	368
971	12338	355
972	12351	342
973	12364	330
974	12378	317
975	12391	304
976	12405	292
977	12435	279
978	12480	267
979	12515	255
980	12535	242
981	12550	230
982	12564	217
983	12589	204
984	12622	192
985	12655	179
986	12674	166
987	12691	154
988	12707	141
989	12724	128
990	12739	115
991	12755	102
992	12770	90
993	12785	77
994	12800	64
995	12815	51
996	12831	38
997	12845	25
998	12869	12
999	12888	0
